Time (yr BP),Antarctic temperature,Antarctic temperature uncertainty
715000,-3.99310788,1.63375409
716000,-4.576400603,1.648531724
717000,-5.161095013,1.63014018
718000,-5.707998801,1.6123588
719000,-6.225773688,1.611698016
720000,-6.771325582,1.640221671
721000,-7.287978372,1.633417878
722000,-7.419765588,1.662282975
723000,-6.878676765,1.84908069
724000,-5.92302775,1.89507641
725000,-5.182018016,1.703761287
726000,-5.014041168,1.573604276
727000,-5.167709184,1.537023485
728000,-5.227166572,1.51809939
729000,-5.083708763,1.525083287
730000,-4.829126967,1.535910454
731000,-4.516768476,1.560412204
732000,-4.107956216,1.592685673
733000,-3.695322652,1.568445009
734000,-3.472491743,1.522350925
735000,-3.432563557,1.511211712
736000,-3.527295619,1.532614854
737000,-3.833044666,1.59701435
738000,-4.406304089,1.722988892
739000,-5.260077176,1.866185733
740000,-6.240903832,1.853747408
741000,-7.020635551,1.684567056
742000,-7.492948539,1.567109663
743000,-7.76989532,1.527620262
744000,-7.86657373,1.511821866
745000,-7.824938901,1.506821564
746000,-7.791277374,1.502955506
747000,-7.806437177,1.501579728
748000,-7.801427888,1.502538791
749000,-7.751657364,1.503979483
750000,-7.724683546,1.503522767
751000,-7.742017889,1.50301008
752000,-7.71797109,1.505898358
753000,-7.586115116,1.522062937
754000,-7.304464138,1.57547317
755000,-6.793050274,1.690143
756000,-6.064414612,1.75551117
757000,-5.468300325,1.66117671
758000,-5.412729185,1.610594954
759000,-5.838481126,1.642253927
760000,-6.300546815,1.608062939
761000,-6.347467127,1.617474248
762000,-5.869802498,1.704010165
763000,-5.22009386,1.67027442
764000,-4.869263841,1.577890464
765000,-4.995993285,1.58252296
766000,-5.357230691,1.589086864
767000,-5.47550532,1.592209318
768000,-5.093692112,1.682325958
769000,-4.410990909,1.708415565
770000,-3.835576304,1.610695275
771000,-3.600694881,1.530895981
772000,-3.563015685,1.521208405
773000,-3.40315311,1.554886784
774000,-3.008853047,1.598661117
775000,-2.510327156,1.600423787
776000,-2.078979254,1.560927924
777000,-1.779161745,1.53032463
778000,-1.545035652,1.52224408
779000,-1.363737099,1.512652095
780000,-1.281707221,1.505324287
781000,-1.233220662,1.507930932
782000,-1.114798933,1.515390461
783000,-0.922206854,1.52500292
784000,-0.661004375,1.53984956
785000,-0.358250191,1.543252219
786000,-0.150691259,1.548440212
787000,-0.269183098,1.636202756
788000,-0.852416334,1.770396916
789000,-1.704730149,1.810869378
790000,-2.615996026,1.823503058
791000,-3.555498956,1.829729231
792000,-4.460804779,1.783564066
793000,-5.285234721,1.74937764
794000,-6.100274369,1.76381321
795000,-6.906752883,1.730105356
796000,-7.539991327,1.621342983
797000,-7.889464182,1.535317386
798000,-8.029409877,1.507988784
799000,-8.099845193,1.50522071
